scan_date,org_name,total_scans,new_leads,avg_confidence,avg_processing_time,conversion_rate_pct,rolling_7d_avg_scans,scans_wow_growth_pct,is_slow_processing,day_of_week,day_of_week_num,week_number,year_month
2026-04-06,Altus Group,193,92,0.9132,1673.91,47.66839378238342,193.0,,True,Monday,0,15,2026-04
2026-04-07,Altus Group,168,113,0.8091,803.87,67.26190476190477,180.5,,False,Tuesday,1,15,2026-04
2026-04-08,Altus Group,181,135,0.7194,1302.66,74.58563535911603,180.66666666666666,,True,Wednesday,2,15,2026-04
2026-04-09,Altus Group,162,90,0.6731,901.48,55.55555555555556,176.0,,False,Thursday,3,15,2026-04
2026-04-10,Altus Group,121,87,0.8259,1269.15,71.900826446281,165.0,,False,Friday,4,15,2026-04
2026-04-11,Altus Group,82,45,0.7101,169.45,54.87804878048781,151.16666666666666,,False,Saturday,5,15,2026-04
2026-04-12,Altus Group,12,5,0.9613,455.3,41.66666666666667,131.28571428571428,,False,Sunday,6,15,2026-04
2026-04-13,Altus Group,189,139,0.803,1232.27,73.54497354497354,130.71428571428572,-2.072538860103623,False,Monday,0,16,2026-04
2026-04-14,Altus Group,94,84,0.7708,402.85,89.36170212765957,120.14285714285714,-44.047619047619044,False,Tuesday,1,16,2026-04
2026-04-15,Altus Group,205,108,0.7943,181.6,52.6829268292683,123.57142857142857,13.259668508287303,False,Wednesday,2,16,2026-04
2026-04-16,Altus Group,165,138,0.7561,550.07,83.63636363636363,124.0,1.85185185185186,False,Thursday,3,16,2026-04
2026-04-17,Altus Group,218,113,0.7722,1263.8,51.8348623853211,137.85714285714286,80.16528925619835,False,Friday,4,16,2026-04
2026-04-18,Altus Group,80,41,0.7096,907.01,51.24999999999999,137.57142857142858,-2.4390243902439046,False,Saturday,5,16,2026-04
2026-04-19,Altus Group,59,45,0.9361,1560.36,76.27118644067797,144.28571428571428,391.6666666666667,True,Sunday,6,16,2026-04
2026-04-20,Altus Group,211,111,0.7129,858.21,52.60663507109005,147.42857142857142,11.64021164021165,False,Monday,0,17,2026-04
2026-04-21,Altus Group,141,88,0.8273,589.79,62.4113475177305,154.14285714285714,50.0,False,Tuesday,1,17,2026-04
2026-04-22,Altus Group,171,151,0.9482,757.95,88.30409356725146,149.28571428571428,-16.58536585365854,False,Wednesday,2,17,2026-04
2026-04-23,Altus Group,215,138,0.6567,1298.89,64.18604651162791,156.42857142857142,30.303030303030297,False,Thursday,3,17,2026-04
2026-04-24,Altus Group,199,144,0.9229,1450.21,72.36180904522614,153.71428571428572,-8.715596330275233,True,Friday,4,17,2026-04
2026-04-25,Altus Group,67,31,0.8334,1446.34,46.26865671641791,151.85714285714286,-16.249999999999996,True,Saturday,5,17,2026-04
2026-04-26,Altus Group,113,57,0.9666,544.96,50.442477876106196,159.57142857142858,91.52542372881356,False,Sunday,6,17,2026-04
2026-04-27,Altus Group,144,79,0.8183,1491.56,54.861111111111114,150.0,-31.753554502369663,True,Monday,0,18,2026-04
2026-04-28,Altus Group,144,114,0.9557,226.67,79.16666666666666,150.42857142857142,2.127659574468077,False,Tuesday,1,18,2026-04
2026-04-29,Altus Group,158,110,0.9199,1713.13,69.62025316455697,148.57142857142858,-7.602339181286554,True,Wednesday,2,18,2026-04
2026-04-30,Altus Group,243,156,0.7942,690.18,64.19753086419753,152.57142857142858,13.023255813953494,False,Thursday,3,18,2026-04
2026-05-01,Altus Group,230,196,0.6742,1576.47,85.21739130434783,157.0,15.57788944723617,True,Friday,4,18,2026-05
2026-05-02,Altus Group,90,59,0.9565,1217.45,65.55555555555556,160.28571428571428,34.32835820895524,False,Saturday,5,18,2026-05
2026-05-03,Altus Group,102,48,0.9465,431.74,47.05882352941176,158.71428571428572,-9.734513274336287,False,Sunday,6,18,2026-05
2026-05-04,Altus Group,180,128,0.703,1448.65,71.11111111111111,163.85714285714286,25.0,True,Monday,0,19,2026-05
2026-05-05,Altus Group,135,70,0.9365,596.11,51.85185185185185,162.57142857142858,-6.25,False,Tuesday,1,19,2026-05
2026-04-06,Apex Solutions,9,5,0.6661,156.82,55.55555555555556,9.0,,False,Monday,0,15,2026-04
2026-04-07,Apex Solutions,23,15,0.8573,901.41,65.21739130434783,16.0,,False,Tuesday,1,15,2026-04
2026-04-08,Apex Solutions,20,11,0.8666,1707.88,55.00000000000001,17.333333333333332,,True,Wednesday,2,15,2026-04
2026-04-09,Apex Solutions,18,12,0.9219,474.82,66.66666666666666,17.5,,False,Thursday,3,15,2026-04
2026-04-10,Apex Solutions,21,13,0.8299,771.16,61.904761904761905,18.2,,False,Friday,4,15,2026-04
2026-04-11,Apex Solutions,6,3,0.8903,131.55,50.0,16.166666666666668,,False,Saturday,5,15,2026-04
2026-04-12,Apex Solutions,10,5,0.6741,237.17,50.0,15.285714285714286,,False,Sunday,6,15,2026-04
2026-04-13,Apex Solutions,20,15,0.9125,1288.95,75.0,16.857142857142858,122.22222222222223,False,Monday,0,16,2026-04
2026-04-14,Apex Solutions,12,7,0.974,730.36,58.333333333333336,15.285714285714286,-47.82608695652174,False,Tuesday,1,16,2026-04
2026-04-15,Apex Solutions,24,11,0.6695,796.57,45.83333333333333,15.857142857142858,19.999999999999996,False,Wednesday,2,16,2026-04
2026-04-16,Apex Solutions,20,14,0.814,1267.22,70.0,16.142857142857142,11.111111111111116,False,Thursday,3,16,2026-04
2026-04-17,Apex Solutions,24,19,0.743,1691.95,79.16666666666666,16.571428571428573,14.28571428571428,True,Friday,4,16,2026-04
2026-04-18,Apex Solutions,8,4,0.6759,1223.87,50.0,16.857142857142858,33.33333333333333,False,Saturday,5,16,2026-04
2026-04-19,Apex Solutions,14,6,0.7193,386.59,42.857142857142854,17.428571428571427,39.99999999999999,False,Sunday,6,16,2026-04
2026-04-20,Apex Solutions,10,7,0.7148,207.78,70.0,16.0,-50.0,False,Monday,0,17,2026-04
2026-04-21,Apex Solutions,18,13,0.9193,1530.99,72.22222222222221,16.857142857142858,50.0,True,Tuesday,1,17,2026-04
2026-04-22,Apex Solutions,12,7,0.6859,1545.22,58.333333333333336,15.142857142857142,-50.0,True,Wednesday,2,17,2026-04
2026-04-23,Apex Solutions,18,13,0.8078,369.85,72.22222222222221,14.857142857142858,-9.999999999999998,False,Thursday,3,17,2026-04
2026-04-24,Apex Solutions,9,7,0.7903,203.26,77.77777777777779,12.714285714285714,-62.5,False,Friday,4,17,2026-04
2026-04-25,Apex Solutions,9,7,0.881,1510.81,77.77777777777779,12.857142857142858,12.5,True,Saturday,5,17,2026-04
2026-04-26,Apex Solutions,9,7,0.9513,520.46,77.77777777777779,12.142857142857142,-35.71428571428571,False,Sunday,6,17,2026-04
2026-04-27,Apex Solutions,14,6,0.9419,1689.09,42.857142857142854,12.714285714285714,39.99999999999999,True,Monday,0,18,2026-04
2026-04-28,Apex Solutions,23,12,0.7579,179.45,52.17391304347826,13.428571428571429,27.777777777777768,False,Tuesday,1,18,2026-04
