user_id,signup_date,device_type,os,browser,app_version,device_id,city,state,locale,zip
1,2025-08-20 19:30:12,mobile,Android 12,Chrome Mobile,1.3.0,5f41e151-9072-4673-812a-4e8b23fb2f6e,Dallas,TX,en-US,75389
2,2025-09-08 19:30:12,desktop,Ubuntu 22.04,Chrome,3.1.2,1ca329ee-3f78-4ed4-8566-f37604625908,Las Vegas,NV,en-US,89105
3,2026-02-03 19:30:12,mobile,iOS 17,Chrome Mobile,3.0.0,703b2a32-841c-4317-bfef-33d458312370,Minneapolis,MN,en-US,55404
4,2025-02-22 19:30:12,desktop,Ubuntu 22.04,Safari,1.3.0,06da36f3-6b3a-4b5f-86db-edce025abda6,Milwaukee,WI,en-US,53276
5,2024-09-13 19:30:12,mobile,iOS 17,Samsung Internet,2.1.1,8398e664-87c9-403d-93fb-495735691fbd,Seattle,WA,en-US,98120
6,2025-01-20 19:30:12,tablet,iOS 16,Safari,2.2.0,b2121871-743b-466a-b470-7dae2c6ea337,San Antonio,TX,en-US,78246
7,2024-05-01 19:30:12,desktop,macOS 13,Chrome,2.3.5,d2782443-5cd1-44c3-b53e-fde8d144ad84,Kansas City,MO,en-US,64116
8,2024-02-20 19:30:12,mobile,Android 14,Firefox Mobile,3.1.2,ac5e21b3-2d74-4a41-b15b-eb2d478e851b,Boston,MA,en-US,2248
9,2025-03-08 19:30:12,desktop,Windows 10,Chrome,1.3.0,423e9f4e-6811-4863-872e-5a382ef8ccf5,Denver,CO,en-US,80211
10,2024-12-15 19:30:12,mobile,Android 13,Firefox Mobile,2.3.5,d67cacf0-97ae-4d91-aa44-48030197a62b,Boston,MA,en-US,2142
11,2024-03-08 19:30:12,tablet,iPadOS 17,Firefox,2.0.0,b43841ec-8a4a-42cb-b838-b6f5ef9d8c81,Phoenix,AZ,en-US,85078
12,2025-04-20 19:30:12,desktop,Windows 11,Firefox,2.3.5,9f816501-9374-4aaf-9f7b-52dd77133ed8,Memphis,TN,en-US,38135
13,2025-01-11 19:30:12,desktop,macOS 13,Chrome,1.3.0,c33e813c-e12e-465d-ae67-2379a86c689f,Chicago,IL,en-US,60641
14,2024-01-05 19:30:12,tablet,iOS 16,Safari,3.1.2,4d377dd7-5112-4d4d-91f2-38c3a1e113e8,Oklahoma City,OK,en-US,73128
15,2023-06-18 19:30:12,tablet,Android 13,Safari,2.0.0,e76924ae-45a9-4ea0-b265-65d640fff5c1,Dallas,TX,en-US,75264
16,2024-10-14 19:30:12,desktop,Ubuntu 22.04,Safari,3.1.2,72ff702a-0a82-463e-a717-4ec9fab8b259,Louisville,KY,en-US,40247
17,2025-01-11 19:30:12,mobile,Android 14,Samsung Internet,1.1.0,a21fdd08-de85-494c-a8fc-c47178887072,Houston,TX,en-US,77015
18,2025-05-27 19:30:12,desktop,Windows 11,Safari,3.1.2,4a82cd59-c44f-461a-a90d-6377a56491bd,Phoenix,AZ,en-US,85050
19,2024-02-14 19:30:12,desktop,macOS 14,Opera,2.0.0,98fe7410-b9e5-4723-85aa-ea2275abf6fd,Mesa,AZ,en-US,85202
20,2025-08-14 19:30:12,desktop,Ubuntu 22.04,Edge,2.1.1,7b74aabb-8a04-4289-bbc3-35e086f7c21d,San Diego,CA,en-US,92138
21,2023-10-28 19:30:12,mobile,Android 13,Safari Mobile,2.0.0,4d463ab9-b569-4eec-97ae-01764ed28659,Fresno,CA,en-US,93798
22,2025-04-05 19:30:12,desktop,Windows 10,Edge,3.0.0,92219e4a-a954-4bcc-9591-9f4faf615703,Minneapolis,MN,en-US,55426
23,2025-05-27 19:30:12,tablet,iPadOS 17,Firefox,3.0.0,aae3c6c5-bd5d-4885-9abe-ae0f392e44c6,New York,NY,en-US,10166
24,2023-07-10 19:30:12,mobile,iOS 16,Firefox Mobile,2.0.0,2fce8a15-bbcf-4124-9e16-8dca0f6d28b3,San Francisco,CA,en-US,94108
25,2024-11-28 19:30:12,desktop,Windows 10,Chrome,2.3.5,0f01d767-136f-4ce1-9cb3-0694b13f4089,Phoenix,AZ,en-US,85098
26,2025-07-22 19:30:12,mobile,Android 13,Chrome Mobile,2.0.0,dcadbfb4-02b6-4a11-99c5-f6417f6f5cea,Sacramento,CA,en-US,95878
27,2023-11-21 19:30:12,mobile,Android 14,Chrome Mobile,2.0.0,0a7e4042-f913-42c3-97c8-421f70e7e152,Louisville,KY,en-US,40286
